order_item_id,order_id,product_id,quantity,unit_price,discount
1,2635,20,8,151.48,0.0
2,2128,60,10,126.12,0.05
3,2128,14,7,3.36,0.05
4,2128,55,5,54.78,0.0
5,2128,16,3,18.33,0.1
6,875,11,6,61.17,0.1
7,875,38,2,13.28,0.05
8,875,7,2,33.03,0.0
9,706,10,7,165.6,0.1
10,180,58,3,104.43,0.0
11,180,4,8,27.29,0.0
12,180,12,3,385.04,0.0
13,180,19,6,7.35,0.0
14,843,6,3,24.02,0.0
15,843,58,6,104.43,0.0
16,843,7,10,33.03,0.0
17,843,6,10,24.02,0.0
18,843,1,3,46.02,0.0
19,1180,53,2,43.35,0.05
20,1180,18,5,257.31,0.1
21,1180,40,2,56.04,0.1
22,1180,54,5,15.53,0.1
23,1750,5,10,160.91,0.05
24,1750,55,3,54.78,0.0
25,187,7,10,33.03,0.05
26,187,15,5,118.8,0.15
27,187,3,6,120.38,0.05
28,187,43,8,60.31,0.0
29,187,52,6,18.99,0.05
30,2262,20,7,151.48,0.0
31,2262,27,5,212.44,0.0
32,2262,43,4,60.31,0.0
33,2262,16,3,18.33,0.05
34,2262,46,1,21.46,0.0
35,2021,4,2,27.29,0.1
36,320,7,3,33.03,0.05
37,320,10,2,165.6,0.15
38,3449,50,6,171.97,0.0
39,3449,38,8,13.28,0.0
40,3449,28,2,52.42,0.05
41,513,47,5,271.83,0.1
42,513,60,4,126.12,0.15
43,513,58,1,104.43,0.05
44,513,24,7,8.02,0.0
45,513,13,2,71.06,0.0
46,171,3,7,120.38,0.0
47,2565,53,8,43.35,0.05
48,2565,43,6,60.31,0.05
49,3116,9,7,270.93,0.0
50,3116,43,10,60.31,0.0
51,3116,56,3,394.93,0.15
52,3116,1,5,46.02,0.0
53,1313,6,6,24.02,0.05
54,1313,10,3,165.6,0.0
55,1313,16,10,18.33,0.1
56,1313,32,4,115.53,0.0
57,2443,27,1,212.44,0.0
58,2443,41,6,136.4,0.0
59,713,24,1,8.02,0.0
60,713,7,9,33.03,0.05
61,713,13,3,71.06,0.0
62,713,22,9,39.07,0.15
63,713,18,7,257.31,0.1
64,1226,38,10,13.28,0.1
65,1226,13,1,71.06,0.05
66,1226,30,10,75.84,0.15
67,1226,36,9,307.21,0.0
68,1226,49,1,3.15,0.05
69,619,22,7,39.07,0.0
70,619,38,2,13.28,0.15
71,619,31,8,308.58,0.05
72,71,37,6,136.06,0.0
73,71,54,4,15.53,0.1
74,71,29,5,103.01,0.0
75,71,58,1,104.43,0.15
76,71,53,10,43.35,0.0
77,681,26,1,80.87,0.0
78,681,34,1,195.39,0.0
79,681,15,4,118.8,0.05
80,2199,1,1,46.02,0.05
81,2199,5,9,160.91,0.0
82,2199,53,7,43.35,0.1
83,2199,2,5,166.46,0.1
84,594,43,8,60.31,0.0
85,594,38,9,13.28,0.0
86,594,43,5,60.31,0.1
87,594,50,4,171.97,0.0
88,594,60,9,126.12,0.05
89,1980,12,4,385.04,0.1
90,1980,1,7,46.02,0.15
91,1980,6,4,24.02,0.0
92,250,2,3,166.46,0.0
93,250,60,5,126.12,0.15
94,250,11,5,61.17,0.15
95,250,43,7,60.31,0.0
96,1218,58,4,104.43,0.05
97,1218,47,6,271.83,0.0
98,3195,49,5,3.15,0.0
99,995,45,2,68.24,0.1
100,995,5,2,160.91,0.0
101,995,55,4,54.78,0.0
102,995,5,3,160.91,0.0
103,995,8,6,339.2,0.05
104,2194,33,8,10.06,0.1
105,1778,8,10,339.2,0.05
106,1778,18,6,257.31,0.0
107,1778,51,6,50.01,0.0
108,1778,12,4,385.04,0.05
109,1778,35,1,192.47,0.0
110,3709,52,2,18.99,0.0
111,3709,11,6,61.17,0.0
112,3709,11,9,61.17,0.1
113,3709,13,6,71.06,0.05
114,3709,2,7,166.46,0.0
115,583,7,7,33.03,0.1
116,583,14,4,3.36,0.0
117,583,40,8,56.04,0.15
118,583,50,2,171.97,0.1
119,1496,54,8,15.53,0.15
120,1496,36,7,307.21,0.05
121,1616,42,4,2.63,0.0
122,1616,58,1,104.43,0.0
123,1616,29,1,103.01,0.0
124,1096,23,6,42.49,0.0
125,1096,42,7,2.63,0.0
126,1096,48,6,61.29,0.0
127,1096,56,2,394.93,0.05
128,1096,9,10,270.93,0.0
129,3831,36,10,307.21,0.0
130,3831,9,8,270.93,0.05
131,3831,36,6,307.21,0.1
132,3831,8,1,339.2,0.1
133,3831,51,6,50.01,0.15
134,794,20,7,151.48,0.1
135,794,19,2,7.35,0.0
136,49,20,3,151.48,0.15
137,189,53,3,43.35,0.05
138,189,18,7,257.31,0.0
139,189,5,6,160.91,0.1
140,1772,32,5,115.53,0.0
141,2920,2,5,166.46,0.0
142,2920,21,2,71.68,0.0
143,2920,56,9,394.93,0.0
144,2920,39,2,158.99,0.1
145,1889,8,5,339.2,0.0
146,1889,50,6,171.97,0.0
147,1889,57,3,48.65,0.0
148,2033,14,2,3.36,0.1
149,2033,15,5,118.8,0.0
150,2033,20,9,151.48,0.1
151,2033,59,9,31.68,0.0
152,2033,60,9,126.12,0.1
153,3602,59,5,31.68,0.1
154,3602,7,1,33.03,0.05
155,3602,20,2,151.48,0.05
156,2472,18,1,257.31,0.15
157,2472,9,2,270.93,0.0
158,2472,38,2,13.28,0.0
159,2338,3,6,120.38,0.05
160,2338,26,2,80.87,0.1
161,2338,17,10,51.12,0.0
162,2338,36,2,307.21,0.0
163,3963,11,10,61.17,0.0
164,3963,45,1,68.24,0.0
165,3963,31,3,308.58,0.0
166,1106,48,9,61.29,0.15
167,1106,16,1,18.33,0.05
168,742,57,10,48.65,0.0
169,742,51,4,50.01,0.15
170,742,32,4,115.53,0.1
171,742,4,4,27.29,0.05
172,742,40,7,56.04,0.15
173,991,53,5,43.35,0.1
174,991,23,7,42.49,0.0
175,490,27,5,212.44,0.1
176,490,18,10,257.31,0.0
177,490,55,7,54.78,0.0
178,490,17,10,51.12,0.15
179,490,32,2,115.53,0.0
180,225,38,5,13.28,0.0
181,225,45,10,68.24,0.0
182,225,12,10,385.04,0.15
183,225,8,4,339.2,0.15
184,2536,46,4,21.46,0.0
185,2536,16,1,18.33,0.15
186,1601,44,3,196.45,0.05
187,2580,18,10,257.31,0.0
188,2580,1,4,46.02,0.15
189,1134,54,1,15.53,0.15
190,2935,7,4,33.03,0.0
191,2935,29,3,103.01,0.0
192,2935,47,2,271.83,0.15
193,2935,56,6,394.93,0.0
194,1954,25,9,103.21,0.15
195,1954,44,8,196.45,0.0
196,1954,43,3,60.31,0.0
197,1954,14,6,3.36,0.05
198,23,56,4,394.93,0.15
199,23,32,5,115.53,0.05
200,1263,4,1,27.29,0.0
201,1263,28,3,52.42,0.05
202,1263,4,8,27.29,0.0
203,1263,34,4,195.39,0.0
204,2423,8,3,339.2,0.0
205,2423,19,3,7.35,0.0
206,2423,28,8,52.42,0.0
207,2423,51,2,50.01,0.1
208,3781,30,5,75.84,0.0
209,3781,42,8,2.63,0.0
210,3781,13,5,71.06,0.15
211,3781,54,7,15.53,0.05
212,3781,18,8,257.31,0.0
213,876,29,1,103.01,0.0
214,876,50,8,171.97,0.0
215,2513,15,9,118.8,0.1
216,2513,42,2,2.63,0.0
217,2513,18,6,257.31,0.15
218,2513,34,2,195.39,0.0
219,3642,56,9,394.93,0.15
220,3642,52,7,18.99,0.0
221,3642,2,10,166.46,0.0
222,212,16,5,18.33,0.0
223,593,49,9,3.15,0.15
224,593,55,10,54.78,0.1
225,2755,59,8,31.68,0.0
226,2755,34,3,195.39,0.0
227,2755,2,9,166.46,0.0
228,2755,27,6,212.44,0.1
229,2755,1,4,46.02,0.05
230,3926,7,5,33.03,0.15
231,3926,47,5,271.83,0.05
232,3523,38,7,13.28,0.0
233,3523,43,10,60.31,0.1
234,3523,37,2,136.06,0.0
235,444,31,4,308.58,0.1
236,444,57,6,48.65,0.0
237,444,3,6,120.38,0.0
238,444,31,9,308.58,0.0
239,2510,32,7,115.53,0.0
240,2510,36,2,307.21,0.0
241,2510,7,3,33.03,0.1
242,2735,27,4,212.44,0.0
243,2735,30,9,75.84,0.05
244,3252,7,9,33.03,0.15
245,760,46,4,21.46,0.0
246,760,48,4,61.29,0.0
247,760,24,1,8.02,0.0
248,760,17,10,51.12,0.0
249,401,8,10,339.2,0.0
250,401,57,4,48.65,0.05
251,401,6,4,24.02,0.0
252,401,40,2,56.04,0.0
253,1573,51,9,50.01,0.1
254,1573,48,4,61.29,0.15
255,1573,3,5,120.38,0.05
256,1843,11,1,61.17,0.15
257,1843,60,4,126.12,0.05
258,1843,51,6,50.01,0.05
259,1843,7,9,33.03,0.0
260,1843,38,10,13.28,0.0
261,3902,1,6,46.02,0.05
262,3902,60,8,126.12,0.0
263,3902,36,3,307.21,0.15
264,835,48,10,61.29,0.0
265,1294,43,4,60.31,0.0
266,1967,53,4,43.35,0.0
267,1967,48,3,61.29,0.0
268,2732,53,4,43.35,0.0
269,2732,9,8,270.93,0.0
270,878,43,4,60.31,0.05
271,655,9,2,270.93,0.0
272,655,47,4,271.83,0.15
273,655,24,5,8.02,0.15
274,655,54,7,15.53,0.15
275,655,10,2,165.6,0.15
276,1323,31,1,308.58,0.05
277,1323,11,1,61.17,0.0
278,3599,12,7,385.04,0.15
279,3599,7,3,33.03,0.0
280,3599,14,3,3.36,0.0
281,3599,27,7,212.44,0.0
282,3599,15,3,118.8,0.15
283,1677,46,9,21.46,0.1
284,1677,57,9,48.65,0.15
285,1677,58,10,104.43,0.1
286,3706,57,3,48.65,0.05
287,3706,54,9,15.53,0.1
288,3706,43,4,60.31,0.1
289,3725,28,10,52.42,0.0
290,3725,54,5,15.53,0.05
291,3725,21,10,71.68,0.0
292,3725,14,1,3.36,0.15
293,908,26,7,80.87,0.0
294,908,50,8,171.97,0.1
295,3701,56,2,394.93,0.1
296,3966,58,4,104.43,0.0
297,3966,48,9,61.29,0.15
298,1265,36,7,307.21,0.05
299,1720,46,3,21.46,0.15
300,1720,4,3,27.29,0.1
301,1720,35,3,192.47,0.0
302,1720,16,9,18.33,0.0
303,1720,55,9,54.78,0.1
304,2637,16,9,18.33,0.1
305,3749,22,9,39.07,0.1
306,978,17,6,51.12,0.0
307,1042,9,1,270.93,0.0
308,1042,28,4,52.42,0.05
309,1042,9,2,270.93,0.0
310,1042,34,10,195.39,0.0
311,1042,29,7,103.01,0.0
312,2458,6,6,24.02,0.15
313,2458,30,5,75.84,0.0
314,2458,55,1,54.78,0.0
315,2458,3,1,120.38,0.0
316,2458,50,1,171.97,0.15
317,3265,6,3,24.02,0.0
318,3324,6,4,24.02,0.0
319,3324,31,8,308.58,0.0
320,3324,51,6,50.01,0.1
321,3324,4,10,27.29,0.15
322,3324,2,3,166.46,0.15
323,3687,21,2,71.68,0.05
324,3687,51,5,50.01,0.1
325,3687,49,5,3.15,0.0
326,2444,6,3,24.02,0.1
327,2444,39,10,158.99,0.15
328,1342,31,8,308.58,0.0
329,1342,34,3,195.39,0.0
330,1342,12,9,385.04,0.0
331,1342,40,6,56.04,0.0
332,1342,25,1,103.21,0.05
333,1415,28,1,52.42,0.05
334,1415,3,1,120.38,0.1
335,1415,1,5,46.02,0.15
336,1415,57,7,48.65,0.0
337,1415,23,6,42.49,0.15
