order_id,customer_id,order_date,status,promised_ship_date
2635,310,2024-01-05,completed,2024-01-11
2128,154,2024-01-07,completed,2024-01-13
875,18,2024-01-11,completed,2024-01-17
706,81,2024-01-13,completed,2024-01-17
180,220,2024-01-19,completed,2024-01-26
843,327,2024-01-20,returned,2024-01-25
1180,20,2024-01-22,cancelled,2024-01-27
1750,238,2024-01-24,returned,2024-01-28
187,245,2024-01-25,completed,2024-01-28
2262,178,2024-01-28,cancelled,2024-02-03
2021,36,2024-01-30,cancelled,2024-02-04
320,360,2024-01-31,returned,2024-02-05
3449,271,2024-01-31,completed,2024-02-02
513,182,2024-02-04,cancelled,2024-02-08
171,397,2024-02-06,cancelled,2024-02-08
2565,95,2024-02-10,returned,2024-02-17
3116,172,2024-02-12,completed,2024-02-19
1313,379,2024-02-17,returned,2024-02-23
2443,213,2024-02-17,completed,2024-02-19
713,90,2024-02-19,completed,2024-02-25
1226,121,2024-02-19,completed,2024-02-21
619,127,2024-02-20,completed,2024-02-27
71,158,2024-02-22,completed,2024-02-26
681,381,2024-02-23,completed,2024-02-29
2199,364,2024-02-25,completed,2024-02-27
594,369,2024-02-26,returned,2024-02-28
1980,252,2024-02-26,completed,2024-02-29
250,210,2024-02-28,completed,2024-03-02
1218,92,2024-02-28,completed,2024-03-06
3195,261,2024-02-28,completed,2024-03-04
995,281,2024-02-29,completed,2024-03-06
2194,394,2024-03-01,cancelled,2024-03-05
1778,327,2024-03-02,completed,2024-03-04
3709,360,2024-03-02,completed,2024-03-08
583,34,2024-03-03,completed,2024-03-10
1496,202,2024-03-05,completed,2024-03-09
1616,323,2024-03-05,cancelled,2024-03-10
1096,262,2024-03-06,completed,2024-03-09
3831,71,2024-03-09,completed,2024-03-12
794,221,2024-03-10,completed,2024-03-16
49,88,2024-03-11,completed,2024-03-16
189,357,2024-03-11,completed,2024-03-13
1772,381,2024-03-11,completed,2024-03-15
2920,61,2024-03-11,completed,2024-03-15
1889,338,2024-03-12,completed,2024-03-16
2033,137,2024-03-12,completed,2024-03-19
3602,7,2024-03-12,cancelled,2024-03-16
2472,92,2024-03-14,cancelled,2024-03-20
2338,217,2024-03-17,cancelled,2024-03-22
3963,52,2024-03-17,completed,2024-03-24
1106,332,2024-03-19,completed,2024-03-22
742,108,2024-03-20,completed,2024-03-26
991,255,2024-03-21,completed,2024-03-27
490,348,2024-03-22,returned,2024-03-29
225,71,2024-03-23,cancelled,2024-03-25
2536,111,2024-03-24,completed,2024-03-29
1601,336,2024-03-25,completed,2024-03-30
2580,181,2024-03-26,completed,2024-04-02
1134,58,2024-03-27,returned,2024-03-30
2935,99,2024-03-27,completed,2024-03-31
1954,335,2024-03-30,completed,2024-04-01
23,284,2024-04-02,returned,2024-04-08
1263,343,2024-04-02,completed,2024-04-05
2423,158,2024-04-02,returned,2024-04-04
3781,152,2024-04-02,completed,2024-04-05
876,70,2024-04-03,completed,2024-04-05
2513,241,2024-04-03,completed,2024-04-08
3642,242,2024-04-03,completed,2024-04-07
212,35,2024-04-04,completed,2024-04-08
593,345,2024-04-04,completed,2024-04-10
2755,5,2024-04-05,completed,2024-04-07
3926,101,2024-04-05,returned,2024-04-12
3523,369,2024-04-06,completed,2024-04-13
444,3,2024-04-07,cancelled,2024-04-14
2510,295,2024-04-07,completed,2024-04-12
2735,196,2024-04-10,completed,2024-04-15
3252,116,2024-04-10,completed,2024-04-15
760,63,2024-04-12,completed,2024-04-19
401,400,2024-04-13,cancelled,2024-04-15
1573,107,2024-04-14,completed,2024-04-19
1843,347,2024-04-15,completed,2024-04-20
3902,260,2024-04-15,returned,2024-04-20
835,194,2024-04-16,completed,2024-04-23
1294,97,2024-04-16,completed,2024-04-18
1967,389,2024-04-16,completed,2024-04-20
2732,18,2024-04-16,completed,2024-04-20
878,354,2024-04-17,completed,2024-04-23
655,23,2024-04-19,completed,2024-04-25
1323,276,2024-04-19,completed,2024-04-26
3599,66,2024-04-20,completed,2024-04-23
1677,277,2024-04-21,returned,2024-04-25
3706,366,2024-04-21,cancelled,2024-04-26
3725,7,2024-04-22,completed,2024-04-25
908,157,2024-04-23,completed,2024-04-27
3701,330,2024-04-23,cancelled,2024-04-26
3966,207,2024-04-23,completed,2024-04-29
1265,233,2024-04-24,completed,2024-04-27
1720,323,2024-04-24,cancelled,2024-04-28
2637,259,2024-04-24,completed,2024-04-29
3749,140,2024-04-24,completed,2024-04-27
978,233,2024-04-25,returned,2024-05-02
1042,248,2024-04-25,returned,2024-04-28
2458,376,2024-04-26,completed,2024-05-01
